X;Y;x0_Si;ampli_Si;area_Si;fwhm_Si;Quadrant;Zone;Slot;DeltaW;Strain (GPa);NB pts
-44.667;0.0;514.628;8602.067;52870.785;3.913;;Center;2;6.072000000000003;1.3206600000000006;49pts
-31.584;-31.584;514.759;8757.689;53328.056;3.877;Q1;Center;2;5.941000000000031;1.2921675000000068;49pts
0.0;-44.667;514.806;8876.553;54764.117;3.928;;Center;2;5.8940000000000055;1.2819450000000012;49pts
31.584;-31.584;514.669;8852.358;53733.921;3.864;Q4;Center;2;6.031000000000063;1.3117425000000136;49pts
89.333;0.0;514.983;7559.839;45733.357;3.851;;Mid-Radius;2;5.717000000000098;1.2434475000000214;49pts
82.533;34.186;514.793;7653.937;46154.469;3.839;Q3;Mid-Radius;2;5.907000000000039;1.2847725000000083;49pts
63.168;63.168;514.778;7629.278;46413.982;3.873;Q3;Mid-Radius;2;5.9220000000000255;1.2880350000000056;49pts
34.186;82.533;514.957;7155.103;43565.515;3.876;Q3;Mid-Radius;2;5.743000000000052;1.249102500000011;49pts
0.0;89.333;514.829;7537.202;45767.722;3.866;;Mid-Radius;2;5.871000000000095;1.2769425000000203;49pts
-34.186;82.533;514.728;6855.977;41555.333;3.859;Q2;Mid-Radius;2;5.972000000000094;1.2989100000000204;49pts
-63.168;63.168;514.736;7681.917;45644.433;3.783;Q2;Mid-Radius;2;5.964000000000056;1.297170000000012;49pts
-82.533;34.186;514.765;7481.855;45119.902;3.839;Q2;Mid-Radius;2;5.935000000000059;1.290862500000013;49pts
-89.333;0.0;514.879;7763.692;47000.425;3.854;;Mid-Radius;2;5.821000000000026;1.2660675000000057;49pts
-82.533;-34.186;514.879;6896.012;42040.032;3.881;Q1;Mid-Radius;2;5.821000000000026;1.2660675000000057;49pts
-63.168;-63.168;514.709;7729.87;46997.715;3.871;Q1;Mid-Radius;2;5.991000000000099;1.3030425000000216;49pts
-34.186;-82.533;514.796;7985.313;48375.886;3.857;Q1;Mid-Radius;2;5.903999999999996;1.2841199999999993;49pts
0.0;-89.333;514.731;7965.681;47877.179;3.826;;Mid-Radius;2;5.969000000000051;1.2982575000000112;49pts
34.186;-82.533;514.758;7839.348;47096.828;3.825;Q4;Mid-Radius;2;5.942000000000007;1.2923850000000017;49pts
63.168;-63.168;514.946;7737.191;46896.791;3.859;Q4;Mid-Radius;2;5.754000000000019;1.2514950000000042;49pts
82.533;-34.186;514.73;7714.823;45988.555;3.795;Q4;Mid-Radius;2;5.970000000000027;1.2984750000000058;49pts
134.0;0.0;515.109;8151.174;49925.389;3.899;;Edge;2;5.591000000000008;1.2160425000000017;49pts
129.434;34.682;514.953;7951.025;47918.761;3.837;Q3;Edge;2;5.747000000000071;1.2499725000000157;49pts
116.047;67.0;515.082;8143.809;50296.914;3.932;Q3;Edge;2;5.618000000000052;1.2219150000000112;49pts
94.752;94.752;515.022;8044.982;49539.007;3.92;Q3;Edge;2;5.677999999999997;1.2349649999999994;49pts
67.0;116.047;514.951;8181.816;50161.174;3.903;Q3;Edge;2;5.749000000000024;1.2504075000000052;49pts
34.682;129.434;514.937;8172.8;50008.57;3.895;Q3;Edge;2;5.763000000000034;1.2534525000000074;49pts
0.0;134.0;514.979;8284.365;51529.422;3.96;;Edge;2;5.721000000000004;1.2443175000000009;49pts
-34.682;129.434;514.975;7776.572;47489.651;3.888;Q2;Edge;2;5.725000000000023;1.245187500000005;49pts
-67.0;116.047;515.0;7695.888;47602.937;3.938;Q2;Edge;2;5.7000000000000455;1.23975000000001;49pts
-94.752;94.752;515.005;7605.949;46809.587;3.918;Q2;Edge;2;5.69500000000005;1.2386625000000109;49pts
-116.047;67.0;514.897;8072.393;49452.306;3.9;Q2;Edge;2;5.802999999999997;1.2621524999999991;49pts
-129.434;34.682;514.835;7897.085;48204.221;3.886;Q2;Edge;2;5.865000000000009;1.275637500000002;49pts
-134.0;0.0;515.056;8325.955;52060.659;3.981;;Edge;2;5.6440000000000055;1.2275700000000012;49pts
-129.434;-34.682;514.879;7862.952;48474.59;3.925;Q1;Edge;2;5.821000000000026;1.2660675000000057;49pts
-116.047;-67.0;515.079;8406.27;51970.721;3.936;Q1;Edge;2;5.621000000000095;1.2225675000000205;49pts
-94.752;-94.752;514.922;8537.057;52523.741;3.917;Q1;Edge;2;5.77800000000002;1.2567150000000042;49pts
-67.0;-116.047;515.033;7670.941;47192.755;3.917;Q1;Edge;2;5.66700000000003;1.2325725000000065;49pts
-34.682;-129.434;515.049;8225.277;50264.012;3.89;Q1;Edge;2;5.651000000000067;1.2290925000000146;49pts
0.0;-134.0;514.98;8434.328;51546.777;3.891;;Edge;2;5.720000000000027;1.244100000000006;49pts
34.682;-129.434;515.017;8281.746;50997.838;3.92;Q4;Edge;2;5.682999999999993;1.2360524999999984;49pts
67.0;-116.047;515.016;8281.472;50695.196;3.897;Q4;Edge;2;5.684000000000083;1.236270000000018;49pts
94.752;-94.752;514.936;8394.206;51085.536;3.874;Q4;Edge;2;5.76400000000001;1.253670000000002;49pts
116.048;-67.0;515.032;7931.481;48907.504;3.926;Q4;Edge;2;5.668000000000006;1.2327900000000014;49pts
129.434;-34.682;515.011;7842.737;48009.81;3.897;Q4;Edge;2;5.689000000000078;1.237357500000017;49pts
0.0;0.0;514.558;8618.492;51993.45;3.841;;Center;3;6.142000000000053;1.3358850000000115;49pts
44.667;0.0;514.905;8893.554;54559.456;3.905;;Center;3;5.795000000000073;1.260412500000016;49pts
31.584;31.584;514.781;8766.785;54046.584;3.925;Q3;Center;3;5.919000000000096;1.287382500000021;49pts
0.0;44.667;514.651;8578.16;52655.765;3.908;;Center;3;6.049000000000092;1.31565750000002;49pts
