97.148438	45.862611
98.806641	51.850121
100.464844	38.534872
102.123047	43.316377
103.779297	61.077422
105.437500	58.621597
107.093750	59.183888
108.750000	67.296789
110.404297	78.434397
112.060547	83.836116
113.714844	86.822381
115.369141	102.506961
117.023438	126.060878
118.675781	142.971850
120.330078	195.286435
121.982422	212.524165
123.634766	225.532452
125.287109	276.389445
126.937500	320.305422
128.589844	410.886047
130.240234	526.048264
131.890625	726.717464
133.541016	959.608197
135.189453	1402.701762
136.839844	2077.674135
138.488281	3179.105786
140.136719	4721.246031
141.785156	5609.859713
143.431641	5062.632770
145.080078	3819.633952
146.726562	2673.841189
148.373047	1873.467566
150.019531	1390.193846
151.666016	1065.012704
153.310547	897.424433
154.957031	736.143876
156.601562	628.306387
158.246094	525.590235
159.888672	407.313194
161.533203	355.010275
163.175781	278.336457
164.818359	211.064885
166.460938	189.130325
168.103516	143.735950
169.746094	101.062865
171.386719	80.307699
173.027344	48.572431
174.667969	32.978203
176.308594	20.425869
177.949219	15.796583
179.587891	7.200048
181.228516	-5.366324
182.867188	-17.938262
184.505859	-1.825844
186.144531	8.798614
187.781250	33.168387
189.417969	38.002837
191.056641	94.770667
192.693359	145.452641
194.330078	212.965436
195.964844	283.870357
197.601562	376.208007
199.236328	539.838081
200.871094	814.568759
202.505859	1299.592938
204.140625	1995.350197
205.775391	2763.633822
207.408203	3199.483294
209.041016	2772.976276
210.673828	1976.026759
212.306641	1337.723245
213.939453	918.831095
215.572266	637.054141
217.203125	467.958232
218.833984	356.123960
220.464844	288.708529
222.095703	228.935403
223.726562	191.227607
225.355469	170.076133
226.986328	146.156961
228.615234	132.667846
230.244141	111.500978
231.871094	108.447033
233.500000	97.409650
235.128906	102.039368
236.755859	112.513216
238.382812	108.857783
240.009766	107.356884
241.636719	124.307592
243.261719	148.342843
244.888672	169.624138
246.513672	185.073354
248.138672	212.842349
249.763672	228.624142
251.388672	247.495835
253.011719	225.736849
254.636719	175.333392
256.259766	148.633146
257.882812	103.442071
259.505859	88.437537
261.128906	61.104018
262.751953	45.171717
264.373047	35.097520
265.994141	17.315365
267.615234	22.050303
269.236328	6.430766
270.857422	7.475323
272.478516	10.378844
274.097656	2.485222
275.716797	7.254906
277.335938	-2.482107
278.955078	5.390864
280.574219	5.240691
282.191406	14.676776
283.810547	-2.458069
285.427734	18.122441
287.044922	25.421646
288.662109	40.461811
290.279297	62.319459
291.896484	69.959956
293.511719	81.323057
295.126953	102.601181
296.742188	122.036255
298.357422	130.338030
299.972656	134.932542
301.587891	146.039624
303.201172	179.773789
304.814453	189.356090
306.429688	256.907290
308.041016	322.630719
309.654297	428.074043
311.267578	571.710098
312.878906	720.371194
314.492188	771.987785
316.103516	733.329242
317.714844	631.034172
319.326172	539.258470
320.935547	452.109005
322.546875	347.849532
324.156250	301.949861
325.765625	253.862223
327.375000	220.986579
328.984375	203.021133
330.593750	174.173046
332.201172	154.645870
333.810547	157.195326
335.417969	142.331728
337.025391	116.889020
338.632812	125.357837
340.238281	130.410699
341.845703	132.356795
343.451172	151.743401
345.058594	174.255731
346.664062	176.535177
348.269531	199.069103
349.873047	206.347556
351.478516	232.643643
353.082031	257.083422
354.687500	298.996007
356.291016	330.637875
357.894531	360.112381
359.496094	398.648759
361.099609	434.707443
362.701172	511.042325
364.304688	563.375216
365.906250	677.236327
367.507812	788.959284
369.109375	945.391926
370.708984	1061.278232
372.310547	1247.514231
373.910156	1396.012067
375.509766	1554.573338
377.109375	1775.726006
378.708984	1939.119618
380.308594	2051.913095
381.906250	2077.790162
383.505859	2036.723607
385.103516	1947.137781
386.701172	1753.915432
388.298828	1557.489116
389.896484	1388.542947
391.492188	1222.038092
393.089844	1067.373513
394.685547	957.453343
396.281250	845.298419
397.876953	754.728306
399.472656	662.556904
401.066406	604.842208
402.662109	551.810814
404.255859	468.333459
405.849609	443.807980
407.443359	382.873474
409.037109	340.434369
410.628906	297.666139
412.222656	275.291474
413.814453	246.942392
415.406250	209.474248
416.998047	211.578068
418.589844	175.975858
420.181641	174.304519
421.771484	156.286911
423.363281	145.180344
424.953125	128.409583
426.542969	116.980205
428.132812	124.423323
429.722656	129.667340
431.310547	133.655112
432.900391	126.627275
434.488281	115.818922
436.076172	127.995466
437.664062	118.443735
439.251953	130.311174
440.837891	133.045548
442.425781	144.920914
444.011719	159.638086
445.597656	167.109454
447.183594	184.359612
448.769531	229.057465
450.353516	263.993087
451.939453	333.336044
453.523438	418.801824
455.107422	564.908527
456.691406	769.797838
458.275391	1056.241569
459.859375	1389.860212
461.441406	1711.922063
463.025391	1771.218270
464.607422	1493.006876
466.189453	1182.125413
467.771484	856.576065
469.351562	622.602420
470.933594	483.105831
472.513672	368.860991
474.095703	280.832142
475.675781	232.643538
477.255859	175.254758
478.833984	154.251506
480.414062	126.588454
481.992188	101.130041
483.572266	77.243928
485.150391	75.843724
486.728516	67.152093
488.304688	47.360808
489.882812	38.339517
491.458984	27.410106
493.037109	28.209963
494.613281	16.001366
496.189453	28.535508
497.765625	18.539559
499.339844	19.964947
500.916016	18.848764
502.490234	21.223003
504.064453	21.054887
505.638672	26.602652
507.212891	30.561449
508.787109	22.442434
510.359375	13.363939
511.931641	15.407077
513.505859	8.544209
515.078125	8.037174
516.650391	1.164405
518.220703	4.149916
519.792969	-2.732691
521.363281	-2.300029
522.933594	-8.238584
524.503906	-3.355912
526.074219	-10.578823
527.644531	2.899195
529.214844	-0.509531
530.783203	-4.879721
532.351562	-7.980546
533.919922	4.536532
535.488281	5.255406
537.056641	-4.236180
538.625000	7.958837
540.191406	-1.224391
541.757812	1.393994
543.324219	19.013496
544.890625	24.184284
546.457031	19.453718
548.023438	25.258697
549.587891	34.577037
551.152344	41.019941
552.718750	42.028801
554.283203	56.781116
555.845703	77.611453
557.410156	85.974654
558.972656	100.096023
560.537109	116.779719
562.099609	128.667255
563.662109	161.041207
565.224609	174.217578
566.785156	215.253870
568.347656	230.042623
569.908203	284.555573
571.468750	323.388873
573.029297	385.949442
574.589844	428.660627
576.150391	468.501491
577.710938	588.519943
579.269531	695.756178
580.828125	837.037110
582.386719	954.951322
583.945312	1147.363910
585.503906	1338.568879
587.060547	1510.265895
588.619141	1663.727672
590.175781	1740.809934
591.732422	1753.673186
593.289062	1639.302448
594.845703	1470.249828
596.400391	1306.269877
